date,observed,trend,seasonal,residual
2013-01-01,13696.0,19855.190221399153,-6410.652378712927,251.4621573137747
2013-01-02,13678.0,19864.78582997578,-6173.988439266583,-12.797390709196407
2013-01-03,14488.0,19874.381438552406,-6917.886191118894,1531.5047525664886
2013-01-04,15677.0,19883.977047129032,-7103.519833382166,2896.542786253134
2013-01-05,16237.0,19893.572655705662,-7675.558407152285,4018.985751446623
2013-01-06,17291.0,19903.16826428229,-8106.404104210078,5494.235839927789
2013-01-07,11769.0,19912.763872858915,-8324.022404007594,180.25853114867823
2013-01-08,13560.0,19922.359481435542,-7138.967279147578,776.6077977120358
2013-01-09,13878.0,19931.95509001217,-6172.632702232768,118.67761222059926
2013-01-10,14642.0,19941.550698588795,-6881.908536276858,1582.3578376880632
2013-01-11,15633.0,19951.146307165425,-7173.53121963602,2855.384912470595
2013-01-12,16679.0,19960.74191574205,-7753.2492454609355,4471.507329718884
2013-01-13,17741.0,19970.33752431868,-8143.702613751605,5914.365089432927
2013-01-14,11746.0,19979.933132895305,-8235.742283412137,1.8091505168322328
2013-01-15,13625.0,19989.52874147193,-7226.551816086367,862.0230746144352
2013-01-16,13591.0,19999.124350048558,-6266.387102185255,-141.7372478633033
2013-01-17,14587.0,20008.719958625188,-6962.388963626606,1540.6690050014176
2013-01-18,15495.0,20018.315567201815,-7347.782605889876,2824.4670386880616
2013-01-19,16294.0,20027.91117577844,-7769.732960481912,4035.821784703471
2013-01-20,17612.0,20037.506784355068,-8190.103041101346,5764.596256746278
2013-01-21,11709.0,20047.102392931694,-8463.753121720782,125.65072878908722
2013-01-22,13724.0,20056.69800150832,-7214.894709189533,882.1967076812125
2013-01-23,13613.0,20066.29361008495,-6324.712461041846,-128.58114904310514
2013-01-24,14472.0,20075.889218661578,-7008.324185496897,1404.4349668353198
2013-01-25,15640.0,20085.484827238204,-7252.561115431398,2807.076288193194
2013-01-26,16561.0,20095.08043581483,-7800.286812489188,4266.206376674358
2013-01-27,17579.0,20104.676044391457,-8219.61853694424,5693.942492552782
2013-01-28,11848.0,20114.271652968084,-8404.618754549976,138.34710158189228
2013-01-29,13724.0,20123.867261544714,-7432.035410511877,1032.1681489671628
2013-01-30,13391.0,20133.46287012134,-6379.479463734051,-362.9834063872895
2013-01-31,14724.0,20143.058478697967,-7014.547626545269,1595.4891478473019
2013-02-01,17473.0,20152.654087274594,-5782.568666068813,3102.91457879422
2013-02-02,18323.0,20162.24969585122,-5867.888335729343,4028.6386398781233
2013-02-03,19544.0,20171.845304427847,-6406.136772513162,5778.2914680853155
2013-02-04,12998.0,20181.440913004473,-6668.349044913421,-515.0918680910527
2013-02-05,14956.0,20191.036521581103,-5341.611728272581,106.57520669147743
2013-02-06,15124.0,20200.63213015773,-4338.758247248182,-737.8738829095482
